time,activation,force,erg_signal
11.088000,1.000000,-131.934912,0.014642
11.090000,1.000000,-131.935003,0.017436
11.092000,1.000000,-131.935091,0.018667
11.094000,1.000000,-131.935179,0.017628
11.096000,1.000000,-131.935264,0.017501
11.098000,1.000000,-131.935348,0.015916
11.100000,1.000000,-131.935430,0.015191
11.102000,1.000000,-131.935511,0.016447
11.104000,1.000000,-131.935591,0.016507
11.106000,1.000000,-131.935668,0.015046
11.108000,1.000000,-131.935745,0.014556
11.110000,1.000000,-131.935820,0.014325
11.112000,1.000000,-131.935894,0.015646
11.114000,1.000000,-131.935966,0.017069
11.116000,1.000000,-131.936037,0.015841
11.118000,1.000000,-131.936106,0.019064
11.120000,1.000000,-131.936174,0.019965
11.122000,1.000000,-131.936241,0.020319
11.124000,1.000000,-131.936307,0.018979
11.126000,1.000000,-131.936371,0.017336
11.128000,1.000000,-131.936435,0.017829
11.130000,1.000000,-131.936497,0.017046
11.132000,1.000000,-131.936557,0.019938
11.134000,1.000000,-131.936617,0.018932
11.136000,1.000000,-131.936676,0.017729
11.138000,1.000000,-131.936733,0.018222
11.140000,1.000000,-131.936789,0.016518
11.142000,1.000000,-131.936844,0.016428
11.144000,1.000000,-131.936898,0.017261
11.146000,1.000000,-131.936951,0.016634
11.148000,1.000000,-131.937003,0.019074
11.150000,1.000000,-131.937054,0.017634
11.152000,1.000000,-131.937104,0.018827
11.154000,1.000000,-131.937153,0.020491
11.156000,1.000000,-131.937200,0.025057
11.158000,1.000000,-131.937247,0.023519
11.160000,1.000000,-131.937293,0.024595
11.162000,1.000000,-131.937338,0.022720
11.164000,1.000000,-131.937382,0.021840
11.166000,1.000000,-131.937425,0.021998
11.168000,1.000000,-131.937467,0.021044
11.170000,1.000000,-131.937509,0.019313
11.172000,1.000000,-131.937549,0.020170
11.174000,1.000000,-131.937589,0.018340
11.176000,1.000000,-131.937627,0.016825
11.178000,1.000000,-131.937665,0.016499
11.180000,1.000000,-131.937702,0.015728
11.182000,1.000000,-131.937738,0.016541
11.184000,1.000000,-131.937774,0.017572
11.186000,1.000000,-131.937808,0.016173
11.188000,1.000000,-131.937842,0.017469
11.190000,1.000000,-131.937875,0.018940
11.192000,1.000000,-131.937907,0.018584
11.194000,1.000000,-131.937939,0.018847
11.196000,1.000000,-131.937969,0.017467
11.198000,1.000000,-131.937999,0.015942
11.200000,1.000000,-131.938029,0.014989
11.202000,1.000000,-131.938057,0.013932
11.204000,1.000000,-131.938085,0.015763
11.206000,1.000000,-131.938112,0.014735
11.208000,1.000000,-131.938139,0.014189
